LOCP_CHV_IDE;LOCP_COD_USUARIO;LOCP_DAT_INCLUSAO;LOCP_DSC_OPERACAO;LOCP_COD_SISTEMA;LOCP_NOM_TABELA;LOCP_CHV_IDE_TABELA;LOCP_TXT_REGISTRADO;LOCP_COD_CASO_USO;LOCP_COD_NIVEL;LOCP_END_IP_REQ
254728;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;5-0210050051-S-VBAKKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254726;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;5-0210050051-S-Venda Produtos 210050051 foi gravado(a);ENVIAR PEDIDO;900;unknow
254725;Cliente_37;15/02/2018 13:49;5-INCLUSAO-Fim chamada Ws-client -> Process Server - 5.757 (ms) de duração;ABC;;;Tip=null|Num=0210050051|Orig=12||Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=16/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000088|Qtd=6000|DtE=16/02/2018|Bas=5096|Prz=Z005|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254727;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;5-0210050051-S-VBAPKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254733;Cliente_37;15/02/2018 13:49;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_37|Rec=Cliente_37|OVs=0210050050;ENVIAR PEDIDO;800;unknow
254735;Cliente_37;15/02/2018 13:50;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_37|Rec=Cliente_37|OVs=0210050051;ENVIAR PEDIDO;800;unknow
254737;Cliente_37;15/02/2018 13:52;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_37|Rec=Cliente_37|OVs=0210050051;ENVIAR PEDIDO;800;unknow
254739;Cliente_37;15/02/2018 13:54;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_37|Rec=Cliente_37|OVs=0210050051;ENVIAR PEDIDO;800;unknow
254740;Cliente_37;15/02/2018 13:54;10-INCLUSAO-Inicio chamada Ws-client -> Process Server;ABC;;;Tip=null|Num=|Orig=12|ConfirmadaOVsemelhante|Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=16/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000088|Qtd=6000|DtE=16/02/2018|Bas=5096|Prz=Z005|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254743;Cliente_37;15/02/2018 13:54;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;10-0210050052-S-VBAPKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254742;Cliente_37;15/02/2018 13:54;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;10-0210050052-S-Venda Produtos 210050052 foi gravado(a);ENVIAR PEDIDO;900;unknow
254744;Cliente_37;15/02/2018 13:54;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;10-0210050052-S-VBAKKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254741;Cliente_37;15/02/2018 13:54;10-INCLUSAO-Fim chamada Ws-client -> Process Server - 5.731 (ms) de duração;ABC;;;Tip=null|Num=0210050052|Orig=12|ConfirmadaOVsemelhante|Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=16/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000088|Qtd=6000|DtE=16/02/2018|Bas=5096|Prz=Z005|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254746;Cliente_37;15/02/2018 13:54;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;10-0210050052-A-Item 10 - 01.000.088 - XXXXXX;ENVIAR PEDIDO;900;unknow
